Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
72	8.097773	0.017045455	0.00080471515	0.17844968	5.748494	5.748998	0.16794851	-4.7317796	-36.89877	0.5015286	0.49347803	0.009183647	21.068514	4.5754347	30.244774	0.9460004	2.069242	0.9007656	6.214878	0.9265173	22.607954	77000	288000.0	14910.026707649231
73	8.19269	0.028089888	0.0007281839	0.16861637	5.8112264	5.811539	0.16564924	-4.7972455	-37.345154	0.49900633	0.4907607	0.009281861	20.799604	5.1226053	32.078186	0.25808498	1.9685344	0.807364	5.380565	0.8994566	22.44382	78000	292000.0	15112.18628025055
74	8.287901	0.03314917	0.00065892335	0.17160213	5.85796	5.8588147	0.16562507	-4.825764	-37.883495	0.4856911	0.47819903	0.009043419	21.284058	4.9498415	30.487389	0.2662839	2.132036	1.0239716	6.1936965	0.90694636	22.292818	79000	296000.0	15312.78313422203
75	8.3831	0.033333335	0.00059625116	0.17076188	5.916712	5.9172683	0.1620274	-4.9039106	-38.39428	0.48065558	0.47339153	0.008997194	20.716217	4.934051	30.784548	3.0477695	2.00588	0.94569176	6.63192	0.9201694	22.26111	80000	300000.0	15517.71500325203
76	8.477549	0.033707865	0.0005394954	0.1745462	5.972672	5.9727473	0.15983969	-4.960507	-38.939926	0.47432178	0.46633613	0.008792283	20.953236	4.749762	31.08602	2.5670326	2.0550168	0.97452736	6.503421	0.9135126	22.38764	81000	304000.0	15720.551141738892
77	8.572804	0.011299435	0.00048815162	0.17183574	6.0275593	6.027768	0.15914497	-5.010446	-39.43672	0.47392762	0.46584287	0.009095993	21.163853	4.375779	29.707573	1.5161034	2.0246735	0.82676136	5.462768	0.9083906	22.644068	82000	308000.0	15922.743854761124
78	8.667348	0.0	0.00044172286	0.16930762	6.092657	6.093176	0.15582196	-5.0949183	-39.934196	0.46698585	0.45917153	0.008859947	21.6019	4.1571536	31.868687	9.986296	1.9521481	0.7890551	4.8534613	0.8892258	22.676136	83000	312000.0	16122.56855893135
79	8.761439	0.005586592	0.00039968189	0.17494568	6.147786	6.148488	0.15239781	-5.1643286	-40.495358	0.46141103	0.45443562	0.008926714	21.08197	4.233851	29.500484	5.3517637	1.9834461	0.9250983	6.6692333	0.9224892	22.24581	84000	316000.0	16323.67017698288
80	8.855411	0.0056818184	0.00036164868	0.16779691	6.205832	6.2049265	0.149994	-5.2250824	-40.956062	0.45062992	0.4436272	0.008727139	21.788843	4.390547	32.81151	5.033831	1.7921101	0.63241595	4.029478	0.9040833	22.948864	85000	320000.0	16523.225311279297
81	8.949557	0.0056497175	0.0003272457	0.16769962	6.2577558	6.257738	0.14811917	-5.2889795	-41.471905	0.4482833	0.44098634	0.008730858	21.574556	4.1948647	31.063913	8.090703	1.9644272	0.75234014	5.2395263	0.9032189	22.649717	86000	324000.0	16726.010972738266
82	9.043129	0.011363637	0.0002960879	0.16805008	6.313375	6.313555	0.14431806	-5.3696904	-41.99186	0.44257286	0.43481705	0.008476665	21.802101	4.4501834	29.821682	2.65851	1.8239509	0.7673765	5.190085	0.90972847	22.52841	87000	328000.0	16927.520543575287
83	9.136887	0.0	0.00026789316	0.16535184	6.370336	6.370596	0.14156465	-5.430798	-42.48664	0.4313344	0.42524084	0.008493882	21.683418	4.0781384	30.807655	9.901421	1.9599484	0.8099353	5.358014	0.909382	22.857954	88000	332000.0	17129.05978870392
