Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
94	0.0056818184	8.9087465e-05	0.061733596	16.22096	16.220549	-16.160961	-47.207253	0.7227649	0.7202176	21.879503	3.7000647	30.018482	0.27719972	1.8156234	0.5650306	4.047814	0.9092198	22.65341	25000	376000.0	21179.93813109398
95	0.0056497175	8.059929e-05	0.06402844	16.20442	16.202843	-16.144854	-47.735718	0.71115184	0.70758706	22.03551	3.3836062	28.630463	0.4620712	1.8999517	0.61064255	5.2622194	0.9102407	22.672316	25000	380000.0	21411.782424211502
96	0.0056497175	7.291937e-05	0.06231335	16.207098	16.2076	-16.14797	-48.2265	0.7408917	0.7376804	21.863256	3.0276833	28.22144	6.090501	1.8592857	0.590388	4.5639186	0.93156844	22.632769	25000	384000.0	21647.724760770798
97	0.0056179776	6.597121e-05	0.062885016	16.220049	16.219992	-16.161854	-48.738907	0.72013116	0.71651477	21.899181	3.3449879	27.465225	0.095624305	1.8692408	0.62560004	4.43363	0.8935459	22.52809	25000	388000.0	21880.88643360138
98	0.0056497175	5.9685157e-05	0.060533673	16.235073	16.233923	-16.174694	-49.22303	0.71611	0.714031	22.187511	3.3777351	29.791508	6.819123	1.774819	0.56362915	4.8238235	0.9156453	22.480227	25000	392000.0	22115.86937236786
99	0.011299435	5.3998134e-05	0.06055463	16.220669	16.222263	-16.163563	-49.729942	0.71449065	0.7113425	22.011154	3.6530962	28.329924	-2.5098407	1.8649678	0.5534213	3.826377	0.9273921	22.632769	25000	396000.0	22347.943720817566
100	0.0057142857	4.885296e-05	0.06056862	16.199635	16.20033	-16.141876	-50.236866	0.71507174	0.71244717	22.123005	3.447126	30.132637	6.419967	1.7514313	0.6300181	3.669441	0.9086745	22.925714	25000	400000.0	22576.04581952095
101	0.0056497175	4.4198012e-05	0.058364455	16.22176	16.221634	-16.163809	-50.721428	0.6945773	0.6913704	22.531208	3.4422712	29.105995	2.601506	1.8037766	0.60963154	3.9456332	0.90996504	22.61582	25000	404000.0	22795.488716363907
102	0.0	3.9986626e-05	0.0588932	16.224352	16.224815	-16.166456	-51.23333	0.69581664	0.6923982	21.954453	2.8079681	29.375261	14.381934	1.7968965	0.5420031	3.770723	0.9118542	22.662857	25000	408000.0	23015.085500478745
103	0.0056179776	3.6176494e-05	0.05799564	16.220884	16.220976	-16.163366	-51.730682	0.6943459	0.69162595	22.298845	2.9637325	28.478886	10.001119	1.7706335	0.59049416	4.550121	0.66704565	22.573034	25000	412000.0	23234.76677775383
104	0.0	3.272942e-05	0.05849558	16.22967	16.230333	-16.172308	-52.2424	0.6791882	0.6750658	22.141375	2.847903	28.018301	13.604654	1.8078054	0.5381407	3.7426784	0.9173312	22.762712	25000	416000.0	23455.152048110962
105	0.011363637	2.9610781e-05	0.05782547	16.233303	16.232082	-16.175232	-52.741936	0.6777939	0.6739054	21.792706	3.6968682	29.508844	4.976457	1.851249	0.5773228	4.0016813	0.9102199	22.568182	25000	420000.0	23679.657860517502
106	0.0	2.6789316e-05	0.058432072	16.222178	16.221785	-16.163717	-53.254757	0.6839207	0.6796902	22.31959	3.0723462	30.639896	11.177616	1.8395679	0.5478864	3.8252883	0.6677745	22.891428	25000	424000.0	23912.53263401985
107	0.0056497175	2.4236751e-05	0.05691294	16.220013	16.22076	-16.162493	-53.74522	0.66559374	0.6606207	22.17942	3.3251443	30.38189	5.126863	1.8465989	0.57817733	4.3133216	0.84480214	22.531073	25000	428000.0	24144.166082143784
108	0.0	2.1927346e-05	0.059458617	16.233253	16.233002	-16.17523	-54.27887	0.6795099	0.6770874	22.251709	3.103999	32.468357	13.365435	1.8089751	0.5813852	3.6406093	0.91639405	22.711864	25000	432000.0	24377.962090730667
