Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
112	0.005586592	15.184787	13.791325	0.3968636	21.680595	3.2790012	29.58638	3.4545193	1.7612339	0.58369	5.158433	0.9073946	22.385475	448000.0	39659.43701839447
113	0.0	15.18646	13.789921	0.38701722	21.476118	3.0330267	28.699322	13.590171	1.8368025	0.5424679	4.2427773	0.919305	22.485876	452000.0	40016.880861997604
114	0.011049724	15.174644	13.784402	0.392749	21.047417	3.72223	28.657122	-2.4014056	1.8938069	0.66542554	5.555431	0.9179343	22.18232	456000.0	40377.23053693771
115	0.011235955	15.164992	13.781904	0.38855463	21.486086	3.6998744	29.992414	0.77703804	1.8244245	0.5814821	3.4853842	0.90980375	22.505617	460000.0	40730.25740981102
116	0.016666668	15.191192	13.798647	0.39340064	20.838167	3.7162037	29.446331	3.757113	1.8810781	0.6841081	4.347921	0.9048355	22.183332	464000.0	41085.68127846718
117	0.0	15.198267	13.802469	0.3905543	21.440767	3.1392238	28.793093	10.98017	1.8233838	0.5494644	3.9181962	0.66346675	22.455055	468000.0	41444.22391319275
118	0.005586592	15.197326	13.803392	0.3907638	21.350775	3.3132627	30.310492	6.152989	1.905006	0.69364274	4.57668	0.9230923	22.284916	472000.0	41803.129249334335
119	0.011173184	15.187615	13.78584	0.39238685	21.026123	3.61224	28.253237	2.7776327	1.8316604	0.6595543	4.8419538	0.9120407	22.458101	476000.0	42163.66041469574
120	0.0055555557	15.189086	13.787932	0.38785607	21.309294	3.7500045	29.348171	-2.574226	1.7885193	0.6341278	4.4997296	0.90759355	22.166666	480000.0	42524.46128368378
121	0.0	15.180123	13.784545	0.38875568	20.965008	5.165698	29.858599	-25.957993	1.8737451	0.5715951	3.7411237	0.0	30.037594	484000.0	42922.400648355484
122	0.011173184	15.166946	13.784353	0.3816381	21.666126	3.3718643	28.70399	7.0050826	1.8810465	0.6108148	5.112275	0.9159582	22.346369	488000.0	43281.50176644325
123	0.016853932	15.171852	13.787508	0.38109785	21.403154	3.7321181	28.817884	1.8098066	1.8215791	0.6464162	4.7246323	0.65940523	22.382023	492000.0	43639.39728927612
124	0.016483517	15.163387	13.779232	0.38188764	21.0273	3.8888671	29.289022	-3.9931676	1.834883	0.65895253	5.4637585	0.90750146	22.120878	496000.0	43996.704503536224
125	0.011173184	15.156422	13.760223	0.38657174	21.301296	4.0271044	28.758698	-4.0194936	1.8218197	0.7066517	6.6624966	0.90863794	22.374302	500000.0	44358.19555568695
